City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,trairi,-3.2778,-39.2689,23.76,97,100,1.67,BR,1709005741
125,remire-montjoly,4.9167,-52.2667,23.02,94,0,0.51,GF,1709005838
126,boa vista,2.8197,-60.6733,27.99,65,20,3.09,BR,1709005838
127,nicoya,10.1483,-85.452,24.5,73,0,4.56,CR,1709005838
128,mombetsu,44.3525,143.3525,-2.99,93,75,5.66,JP,1709005838
129,arraial do cabo,-22.9661,-42.0278,24.65,89,90,3.61,BR,1709005839
130,lihue,21.9789,-159.3672,23.58,73,100,9.26,US,1709005839
131,wismar,53.9,11.4667,3.47,97,47,3.66,DE,1709005839
132,grand falls-windsor,48.9332,-55.6649,-6.39,83,75,1.79,CA,1709005839
133,fuerte olimpo,-21.0415,-57.8738,27.52,58,99,1.38,PY,1709005839
134,enewetak,11.3474,162.3373,27.24,77,73,5.28,MH,1709005839
135,salmon arm,50.6998,-119.3024,0.62,74,100,2.06,CA,1709005840
136,afaahiti,-17.75,-149.2833,27.93,77,29,3.41,PF,1709005840
137,bridgewater,44.3835,-64.5155,2.28,94,99,4.63,CA,1709005840
138,charters towers,-20.1,146.2667,27.82,73,100,6.58,AU,1709005840
139,chillicothe,39.3331,-82.9824,15.21,63,0,2.06,US,1709005540
140,lompoc,34.6391,-120.4579,13.4,85,100,2.57,US,1709005840
141,formosa,-26.1775,-58.1781,26.99,94,100,1.54,AR,1709005840
142,barabai,-2.5833,115.3833,33.27,54,50,1.27,ID,1709005841
143,ban mai,7.2041,100.5451,32.05,68,86,7.41,TH,1709005841
144,borogontsy,62.6683,131.1683,-24.6,92,100,0.35,RU,1709005841
145,miyazu,35.5333,135.1833,3.11,55,100,8.22,JP,1709005841
146,dunedin,-45.8742,170.5036,17.11,80,56,2.24,NZ,1709005841
147,yemva,62.59,50.8594,-3.09,96,100,3.89,RU,1709005841
148,saudarkrokur,65.7461,-19.6394,1.83,99,100,5.15,IS,1709005842
149,berezovyy,51.6667,135.7,-8.98,67,31,1.32,RU,1709005842
150,bardai,11.65,7.2333,21.99,10,50,3.24,NG,1709005842
151,marsabit,2.3284,37.9899,19.34,77,86,4.17,KE,1709005842
152,namsos,64.4662,11.4957,1.03,93,100,1.54,NO,1709005842
153,jessen,51.7833,12.95,4.56,87,75,2.57,DE,1709005842
154,gadzhiyevo,69.2551,33.3362,-4.03,82,100,5.07,RU,1709005842
155,alamos,27.0167,-108.9333,22.09,22,100,1.19,MX,1709005842
156,tiksi,71.6872,128.8694,-18.22,78,100,15.3,RU,1709005843
157,nantucket,41.2835,-70.0995,4.08,100,0,3.09,US,1709005843
158,al bawiti,28.3492,28.8659,12.1,45,0,4.7,EG,1709005843
159,christchurch,-43.5333,172.6333,20.51,74,75,7.2,NZ,1709005710
160,rikaze,29.25,88.8833,3.79,29,10,0.64,CN,1709005843
161,west island,-12.1568,96.8225,28.37,73,21,5.0,CC,1709005843
162,vanimo,-2.6741,141.3028,28.19,82,94,1.53,PG,1709005843
163,college,64.8569,-147.8028,-11.82,47,20,1.54,US,1709005844
164,kununurra,-15.7667,128.7333,35.99,49,29,4.12,AU,1709005844
165,cabedelo,-6.9811,-34.8339,25.37,84,86,4.44,BR,1709005844
166,bandon,51.7469,-8.7425,4.77,86,100,4.88,IE,1709005844
167,lincoln,40.8,-96.667,15.5,28,0,0.89,US,1709005844
168,kidal,18.4411,1.4078,22.84,14,47,1.56,ML,1709005844
169,wynyard,-41.0,145.7167,18.19,67,93,4.61,AU,1709005845
170,jinchang,38.4953,102.1739,-1.6,49,31,2.48,CN,1709005845
171,san rafael,-34.6177,-68.3301,22.71,68,34,2.66,AR,1709005845
172,pangody,65.85,74.4859,-3.2,98,100,6.46,RU,1709005845
173,enshi,30.3,109.4833,9.67,59,65,0.64,CN,1709005845
174,chorfa,36.3651,4.3264,7.94,85,93,4.03,DZ,1709005845
175,margate,51.3813,1.3862,6.5,72,32,4.02,GB,1709005845
176,talnakh,69.4865,88.3972,-10.44,95,100,6.84,RU,1709005846
177,intendente alvear,-35.2338,-63.592,19.64,94,31,2.21,AR,1709005846
178,komatipoort,-25.4332,31.9548,20.03,70,100,3.83,ZA,1709005846
179,lebu,-37.6167,-73.65,13.33,93,12,4.63,CL,1709005662
180,nar'yan-mar,67.6713,53.087,-1.05,94,100,7.6,RU,1709005846
181,sao gabriel da cachoeira,-0.1303,-67.0892,22.47,89,100,1.0,BR,1709005847
